  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   ____Q,rad/s |   ____P,rad/s |   ____R,rad/s |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,orign |   __lon,orign |   ____X,____m |   ____Y,____m |   ____Z,____m |   ___vX,__m/s |   ___vY,__m/s |   ___vZ,__m/s |   _dist,___ft |   _dist,___nm | 
    942.61194 |     641.93219 |       3.44159 |       0.00000 |      12.41831 |      13.41831 |       5.13896 |     178.75708 |     181.94028 |     187.53391 |     187.07857 |     205.70998 |     215.81017 |     215.81017 |      -0.00477 |       0.03094 |       0.00099 |       3.16077 |       0.44292 |      57.11824 |      55.79699 |       7.15470 |      -0.08717 |      57.14954 |      -3.99353 |      -0.01483 |      51.86329 |       4.20634 |    2055.26123 |    2058.36157 |       0.00000 |    2059.25513 |      51.50000 |       4.00000 |   14186.33203 |     482.32144 |  -40464.45703 |      80.68875 |      -7.23233 |     -52.38887 |    1082.91272 |       0.17822 | 
    942.71198 |     642.03223 |       3.54160 |       0.00000 |      12.41834 |      13.41834 |       5.13899 |     179.01697 |     182.04936 |     187.64021 |     187.17879 |     206.00905 |     215.93250 |     215.93248 |      -0.00680 |       0.02529 |       0.00118 |       3.12705 |       0.60482 |      57.12434 |      55.80306 |       7.14608 |      -0.10392 |      57.15232 |      -4.01887 |      -0.02588 |      51.86333 |       4.20646 |    2053.04810 |    2055.99658 |       0.00000 |    2059.88867 |      51.50000 |       4.00000 |   14194.40430 |     481.59564 |  -40469.69531 |      80.73434 |      -7.27912 |     -52.41289 |    1114.48633 |       0.18342 | 
    942.81195 |     642.13220 |       3.64161 |       0.00000 |      12.41837 |      13.41837 |       5.13902 |     179.24847 |     182.16133 |     187.74940 |     187.28166 |     206.27547 |     216.05817 |     216.05817 |      -0.00840 |       0.01798 |       0.00130 |       3.08255 |       0.72703 |      57.13105 |      55.80974 |       7.12769 |      -0.11632 |      57.15645 |      -4.04518 |      -0.03643 |      51.86338 |       4.20658 |    2050.81934 |    2053.61646 |       0.00000 |    2060.08057 |      51.50000 |       4.00000 |   14202.48047 |     480.86508 |  -40474.94141 |      80.78230 |      -7.32770 |     -52.43571 |    1146.07922 |       0.18862 | 
    942.91187 |     642.23212 |       3.74151 |       0.00000 |      12.41840 |      13.41840 |       5.13905 |     179.45689 |     182.27515 |     187.86049 |     187.38533 |     206.51530 |     216.18600 |     216.18602 |      -0.00801 |       0.01032 |       0.00138 |       3.03518 |       0.80612 |      57.13823 |      55.81687 |       7.11106 |      -0.12378 |      57.16150 |      -4.07605 |      -0.04661 |      51.86343 |       4.20670 |    2048.57593 |    2051.28760 |       0.00000 |    2059.89722 |      51.50000 |       4.00000 |   14210.55371 |     480.13000 |  -40480.17969 |      80.83144 |      -7.38407 |     -52.45740 |    1177.65491 |       0.19382 | 
    943.01196 |     642.33221 |       3.84161 |       0.00000 |      12.41843 |      13.41843 |       5.13907 |     179.64758 |     182.39142 |     187.97401 |     187.49120 |     206.73476 |     216.31664 |     216.31664 |      -0.00738 |       0.00436 |       0.00148 |       2.99115 |       0.84623 |      57.14592 |      55.82452 |       7.09840 |      -0.12645 |      57.16707 |      -4.10747 |      -0.05660 |      51.86347 |       4.20681 |    2046.30908 |    2049.02051 |       0.00000 |    2059.39453 |      51.50000 |       4.00000 |   14218.64844 |     479.38770 |  -40485.43359 |      80.88200 |      -7.44151 |     -52.47895 |    1209.31250 |       0.19903 | 
    943.11200 |     642.43225 |       3.94164 |       0.00000 |      12.41845 |      13.41845 |       5.13910 |     179.82367 |     182.50948 |     188.08934 |     187.59885 |     206.93739 |     216.44936 |     216.44934 |      -0.00675 |       0.00016 |       0.00160 |       2.95078 |       0.85804 |      57.15428 |      55.83285 |       7.08925 |      -0.12523 |      57.17289 |      -4.13868 |      -0.06617 |      51.86352 |       4.20693 |    2044.02539 |    2046.73633 |       0.00000 |    2058.61938 |      51.50000 |       4.00000 |   14226.74121 |     478.64023 |  -40490.68359 |      80.93356 |      -7.49874 |     -52.50066 |    1240.96350 |       0.20424 | 
    943.21222 |     642.53247 |       4.04186 |       0.00000 |      12.41848 |      13.41848 |       5.13913 |     179.98869 |     182.62936 |     188.20647 |     187.70834 |     207.12729 |     216.58415 |     216.58415 |      -0.00613 |      -0.00297 |       0.00172 |       2.91393 |       0.84916 |      57.16341 |      55.84194 |       7.08332 |      -0.12087 |      57.17882 |      -4.16954 |      -0.07488 |      51.86357 |       4.20705 |    2041.71863 |    2044.42920 |       0.00000 |    2057.60840 |      51.50000 |       4.00000 |   14234.85547 |     477.88559 |  -40495.94531 |      80.98602 |      -7.55550 |     -52.52271 |    1272.69373 |       0.20946 | 
    943.31226 |     642.63245 |       4.14187 |       0.00000 |      12.41851 |      13.41851 |       5.13916 |     180.14401 |     182.75038 |     188.32472 |     187.81905 |     207.30603 |     216.72021 |     216.72021 |      -0.00555 |      -0.00526 |       0.00183 |       2.88056 |       0.82518 |      57.17321 |      55.85170 |       7.08023 |      -0.11397 |      57.18472 |      -4.19970 |      -0.08243 |      51.86361 |       4.20717 |    2039.39856 |    2042.10876 |       0.00000 |    2056.40259 |      51.50000 |       4.00000 |   14242.95703 |     477.12701 |  -40501.19922 |      81.03899 |      -7.61120 |     -52.54513 |    1304.37341 |       0.21467 | 
    943.41223 |     642.73242 |       4.24184 |       0.00000 |      12.41854 |      13.41854 |       5.13919 |     180.29205 |     182.87254 |     188.44409 |     187.93098 |     207.47639 |     216.85759 |     216.85759 |      -0.00503 |      -0.00689 |       0.00192 |       2.85036 |       0.79024 |      57.18367 |      55.86212 |       7.07950 |      -0.10503 |      57.19054 |      -4.22904 |      -0.08868 |      51.86366 |       4.20729 |    2037.06128 |    2039.77087 |       0.00000 |    2055.02783 |      51.50000 |       4.00000 |   14251.06250 |     476.36310 |  -40506.45313 |      81.09244 |      -7.66563 |     -52.56802 |    1336.06323 |       0.21989 | 
    943.51196 |     642.83221 |       4.34161 |       0.00000 |      12.41856 |      13.41856 |       5.13921 |     180.43405 |     182.99545 |     188.56418 |     188.04388 |     207.63980 |     216.99579 |     216.99582 |      -0.00457 |      -0.00802 |       0.00200 |       2.82302 |       0.74767 |      57.19465 |      55.87307 |       7.08064 |      -0.09450 |      57.19621 |      -4.25737 |      -0.09350 |      51.86371 |       4.20741 |    2034.71155 |    2037.42065 |       0.00000 |    2053.51074 |      51.50000 |       4.00000 |   14259.15527 |     475.59549 |  -40511.69922 |      81.14616 |      -7.71843 |     -52.59138 |    1367.70496 |       0.22510 | 
    943.61200 |     642.93225 |       4.44164 |       0.00000 |      12.41859 |      13.41859 |       5.13924 |     180.57199 |     183.11961 |     188.68550 |     188.15814 |     207.79854 |     217.13539 |     217.13542 |      -0.00418 |      -0.00876 |       0.00205 |       2.79803 |       0.69980 |      57.20608 |      55.88446 |       7.08314 |      -0.08273 |      57.20173 |      -4.28472 |      -0.09681 |      51.86375 |       4.20752 |    2032.33850 |    2035.04712 |       0.00000 |    2051.86475 |      51.50000 |       4.00000 |   14267.27539 |     474.82059 |  -40516.96094 |      81.20034 |      -7.76969 |     -52.61535 |    1399.45154 |       0.23032 | 
    943.71198 |     643.03223 |       4.54160 |       0.00000 |      12.41862 |      13.41862 |       5.13927 |     180.70627 |     183.24451 |     188.80751 |     188.27332 |     207.95306 |     217.27580 |     217.27579 |      -0.00386 |      -0.00919 |       0.00209 |       2.77508 |       0.64873 |      57.21777 |      55.89612 |       7.08652 |      -0.07010 |      57.20704 |      -4.31092 |      -0.09862 |      51.86380 |       4.20764 |    2029.95081 |    2032.65869 |       0.00000 |    2050.11206 |      51.50000 |       4.00000 |   14275.39551 |     474.04123 |  -40522.22266 |      81.25473 |      -7.81909 |     -52.63987 |    1431.19385 |       0.23554 | 
    943.81189 |     643.13214 |       4.64153 |       0.00000 |      12.41865 |      13.41865 |       5.13930 |     180.83783 |     183.36998 |     188.93008 |     188.38936 |     208.10446 |     217.41687 |     217.41687 |      -0.00361 |      -0.00940 |       0.00209 |       2.75373 |       0.59593 |      57.22965 |      55.90796 |       7.09035 |      -0.05687 |      57.21214 |      -4.33595 |      -0.09894 |      51.86385 |       4.20776 |    2027.54822 |    2030.25537 |       0.00000 |    2048.26660 |      51.50000 |       4.00000 |   14283.51758 |     473.25726 |  -40527.48438 |      81.30930 |      -7.86661 |     -52.66492 |    1462.94629 |       0.24077 | 
    943.91193 |     643.23218 |       4.74158 |       0.00000 |      12.41868 |      13.41868 |       5.13932 |     180.96739 |     183.49619 |     189.05334 |     188.50629 |     208.25356 |     217.55872 |     217.55873 |      -0.00343 |      -0.00942 |       0.00208 |       2.73358 |       0.54249 |      57.24152 |      55.91978 |       7.09421 |      -0.04335 |      57.21703 |      -4.35985 |      -0.09780 |      51.86390 |       4.20788 |    2025.12769 |    2027.83423 |       0.00000 |    2046.33789 |      51.50000 |       4.00000 |   14291.65527 |     472.46777 |  -40532.75391 |      81.36408 |      -7.91230 |     -52.69054 |    1494.75452 |       0.24600 | 
    944.01196 |     643.33221 |       4.84162 |       0.00000 |      12.41870 |      13.41870 |       5.13935 |     181.09534 |     183.62296 |     189.17715 |     188.62399 |     208.40080 |     217.70119 |     217.70119 |      -0.00331 |      -0.00932 |       0.00204 |       2.71429 |       0.48931 |      57.25321 |      55.93144 |       7.09777 |      -0.02981 |      57.22169 |      -4.38261 |      -0.09528 |      51.86395 |       4.20800 |    2022.69275 |    2025.39844 |       0.00000 |    2044.33850 |      51.50000 |       4.00000 |   14299.79785 |     471.67383 |  -40538.02734 |      81.41901 |      -7.95611 |     -52.71668 |    1526.58105 |       0.25124 | 
    944.11200 |     643.43225 |       4.94162 |       0.00000 |      12.41873 |      13.41873 |       5.13938 |     181.22212 |     183.75017 |     189.30136 |     188.74237 |     208.54671 |     217.84412 |     217.84413 |      -0.00324 |      -0.00911 |       0.00197 |       2.69557 |       0.43706 |      57.26464 |      55.94283 |       7.10078 |      -0.01642 |      57.22615 |      -4.40426 |      -0.09146 |      51.86399 |       4.20812 |    2020.24475 |    2022.94958 |       0.00000 |    2042.27869 |      51.50000 |       4.00000 |   14307.94336 |     470.87589 |  -40543.30078 |      81.47403 |      -7.99813 |     -52.74332 |    1558.41614 |       0.25648 | 
    944.21198 |     643.53223 |       5.04162 |       0.00000 |      12.41876 |      13.41876 |       5.13941 |     181.34805 |     183.87787 |     189.42601 |     188.86139 |     208.69162 |     217.98756 |     217.98755 |      -0.00320 |      -0.00884 |       0.00188 |       2.67716 |       0.38618 |      57.27563 |      55.95379 |       7.10303 |      -0.00341 |      57.23038 |      -4.42486 |      -0.08645 |      51.86404 |       4.20824 |    2017.78357 |    2020.48755 |       0.00000 |    2040.16504 |      51.50000 |       4.00000 |   14316.09375 |     470.07385 |  -40548.57813 |      81.52913 |      -8.03844 |     -52.77045 |    1590.27026 |       0.26172 | 
    944.31189 |     643.63214 |       5.14156 |       0.00000 |      12.41879 |      13.41879 |       5.13944 |     181.47325 |     184.00583 |     189.55090 |     188.98091 |     208.83569 |     218.13130 |     218.13132 |      -0.00320 |      -0.00852 |       0.00177 |       2.65887 |       0.33703 |      57.28605 |      55.96417 |       7.10440 |       0.00904 |      57.23440 |      -4.44448 |      -0.08036 |      51.86409 |       4.20835 |    2015.31116 |    2018.01428 |       0.00000 |    2038.00476 |      51.50000 |       4.00000 |   14324.24414 |     469.26843 |  -40553.85156 |      81.58427 |      -8.07714 |     -52.79805 |    1622.12219 |       0.26697 | 
    944.41217 |     643.73242 |       5.24180 |       0.00000 |      12.41881 |      13.41881 |       5.13946 |     181.59854 |     184.13463 |     189.67661 |     189.10139 |     208.97987 |     218.27596 |     218.27596 |      -0.00321 |      -0.00818 |       0.00164 |       2.64051 |       0.28960 |      57.29582 |      55.97390 |       7.10484 |       0.02083 |      57.23821 |      -4.46326 |      -0.07330 |      51.86413 |       4.20847 |    2012.81897 |    2015.52100 |       0.00000 |    2035.79553 |      51.50000 |       4.00000 |   14332.42578 |     468.45676 |  -40559.14453 |      81.63963 |      -8.11449 |     -52.82619 |    1654.09265 |       0.27223 | 
    944.51208 |     643.83234 |       5.34172 |       0.00000 |      12.41884 |      13.41884 |       5.13949 |     181.72330 |     184.26340 |     189.80223 |     189.22203 |     209.12344 |     218.42052 |     218.42052 |      -0.00323 |      -0.00782 |       0.00149 |       2.62211 |       0.24431 |      57.30477 |      55.98281 |       7.10433 |       0.03179 |      57.24180 |      -4.48115 |      -0.06545 |      51.86418 |       4.20859 |    2010.32288 |    2013.02393 |       0.00000 |    2033.55591 |      51.50000 |       4.00000 |   14340.58594 |     467.64401 |  -40564.42578 |      81.69485 |      -8.15037 |     -52.85471 |    1685.98022 |       0.27748 | 
    944.61224 |     643.93250 |       5.44187 |       0.00000 |      12.41887 |      13.41887 |       5.13952 |     181.84816 |     184.37881 |     189.91403 |     189.31613 |     209.26714 |     218.54916 |     218.54918 |       0.02071 |      -0.00811 |       0.00131 |       2.66713 |       0.19918 |      57.31302 |      55.99102 |       7.21590 |       0.04198 |      57.24505 |      -4.54770 |      -0.05607 |      51.86423 |       4.20871 |    2007.79663 |    2010.61035 |       0.00000 |    2031.27673 |      51.50000 |       4.00000 |   14348.77051 |     466.82190 |  -40569.71875 |      81.73813 |      -8.26838 |     -52.87576 |    1717.96069 |       0.28274 | 
