  _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   ____M,_ftlb |   ____L,_ftlb |   ____N,_ftlb |   ____Q,rad/s |   ____P,rad/s |   ____R,rad/s |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,orign |   __lon,orign |   ____X,____m |   ____Y,____m |   ____Z,____m |   ___vX,__m/s |   ___vY,__m/s |   ___vZ,__m/s |   _dist,___ft |   _dist,___nm | 
    154.82097 |     158.46420 |     163.32813 |     162.18094 |     178.16479 |     187.95465 |     187.95465 |    9275.72363 |   74489.57031 |   -3379.48022 |       0.06417 |      -0.01135 |      -0.00071 |      -0.06950 |      -0.69654 |      57.22339 |      55.90245 |       6.72578 |       0.07399 |      57.23029 |      -6.79483 |       0.02098 |      51.86290 |       4.20539 |    2051.60498 |    2055.42432 |       0.00000 |    2045.67358 |      51.50000 |       4.00000 |   14120.91699 |     481.62195 |  -40421.89844 |      70.00564 |     -10.38460 |     -45.29102 |     825.84113 |       0.13592 | 
    155.23576 |     158.56624 |     163.42534 |     162.26651 |     178.64214 |     188.06653 |     188.06654 | -293212.81250 |   23403.16602 |   -5386.89258 |       0.05928 |      -0.00632 |      -0.00078 |       0.28520 |      -0.74156 |      57.21476 |      55.89380 |       7.11287 |       0.08108 |      57.22485 |      -6.82727 |       0.03136 |      51.86295 |       4.20549 |    2048.32495 |    2052.10620 |       0.00000 |    2048.33984 |      51.50000 |       4.00000 |   14127.93262 |     480.57788 |  -40426.43750 |      70.03808 |     -10.43817 |     -45.32137 |     853.25568 |       0.14043 | 
    155.58470 |     158.66295 |     163.51707 |     162.35637 |     179.04369 |     188.17210 |     188.17210 | -312776.81250 |   28441.23047 |   -5071.76416 |       0.05219 |      -0.00384 |      -0.00091 |       0.60100 |      -0.77010 |      57.20578 |      55.88477 |       7.43220 |       0.08636 |      57.21839 |      -6.83083 |       0.03912 |      51.86299 |       4.20560 |    2045.04639 |    2048.69653 |       0.00000 |    2050.10400 |      51.50000 |       4.00000 |   14134.92969 |     479.53436 |  -40430.96875 |      70.07166 |     -10.44935 |     -45.35442 |     880.60284 |       0.14493 | 
    155.87859 |     158.75589 |     163.60492 |     162.44736 |     179.38188 |     188.27318 |     188.27316 | -276800.75000 |  176272.57813 |    5112.42480 |       0.04548 |       0.00818 |      -0.00091 |       0.87699 |      -0.75950 |      57.19680 |      55.87577 |       7.69709 |       0.08523 |      57.21267 |      -6.81969 |       0.04983 |      51.86303 |       4.20570 |    2041.76819 |    2045.28711 |       0.00000 |    2051.10498 |      51.50000 |       4.00000 |   14141.93262 |     478.49088 |  -40435.50000 |      70.10636 |     -10.43888 |     -45.38703 |     907.97083 |       0.14943 | 
    156.12604 |     158.84508 |     163.68890 |     162.53856 |     179.66664 |     188.36983 |     188.36983 | -259254.70313 |  112426.76563 |    3906.38281 |       0.03913 |       0.02571 |      -0.00081 |       1.11624 |      -0.64834 |      57.18908 |      55.86802 |       7.91349 |       0.07014 |      57.20761 |      -6.79668 |       0.06284 |      51.86307 |       4.20580 |    2038.49133 |    2041.87854 |       0.00000 |    2051.45215 |      51.50000 |       4.00000 |   14148.95117 |     477.44769 |  -40440.04297 |      70.14169 |     -10.41082 |     -45.41903 |     935.40143 |       0.15395 | 
    156.33388 |     158.93240 |     163.77097 |     162.63014 |     179.90582 |     188.46428 |     188.46429 | -176323.50000 |   92594.53125 |    5424.30566 |       0.03450 |       0.03424 |      -0.00082 |       1.32409 |      -0.47393 |      57.18233 |      55.86123 |       8.09167 |       0.04602 |      57.20242 |      -6.76682 |       0.06762 |      51.86311 |       4.20590 |    2035.22913 |    2038.48474 |       0.00000 |    2051.24023 |      51.50000 |       4.00000 |   14155.96582 |     476.40897 |  -40444.58594 |      70.17712 |     -10.37261 |     -45.45134 |     962.82117 |       0.15846 | 
    156.50894 |     159.01703 |     163.85028 |     162.71962 |     180.10728 |     188.55554 |     188.55553 | -140007.64063 |  109563.92969 |   10334.98633 |       0.03112 |       0.04879 |      -0.00065 |       1.51025 |      -0.22743 |      57.17703 |      55.85590 |       8.24600 |       0.00953 |      57.19954 |      -6.73486 |       0.07142 |      51.86315 |       4.20600 |    2031.98218 |    2035.10632 |       0.00000 |    2050.55396 |      51.50000 |       4.00000 |   14162.97949 |     475.37491 |  -40449.12891 |      70.21348 |     -10.33110 |     -45.48027 |     990.23816 |       0.16297 | 
    156.65704 |     159.09975 |     163.92767 |     162.80960 |     180.27771 |     188.64459 |     188.64462 | -135963.54688 |    -191.12839 |    5816.56592 |       0.02809 |       0.05478 |      -0.00056 |       1.67832 |       0.07802 |      57.17347 |      55.85230 |       8.37480 |      -0.03645 |      57.19798 |      -6.69567 |       0.06802 |      51.86319 |       4.20611 |    2028.75403 |    2031.74683 |       0.00000 |    2049.46704 |      51.50000 |       4.00000 |   14169.99023 |     474.34659 |  -40453.67188 |      70.25111 |     -10.27884 |     -45.50779 |    1017.64392 |       0.16748 | 
    156.78384 |     159.18059 |     164.00314 |     162.90134 |     180.42363 |     188.73145 |     188.73143 | -173401.20313 | -142222.90625 |    -528.33228 |       0.02405 |       0.04344 |      -0.00066 |       1.82621 |       0.36065 |      57.17054 |      55.84934 |       8.47189 |      -0.08042 |      57.19727 |      -6.64516 |       0.05339 |      51.86323 |       4.20621 |    2025.53284 |    2028.39331 |       0.00000 |    2048.03247 |      51.50000 |       4.00000 |   14177.03516 |     473.32013 |  -40458.23438 |      70.29022 |     -10.20987 |     -45.53487 |    1045.18274 |       0.17201 | 
    156.89258 |     159.25868 |     164.07587 |     162.99194 |     180.54877 |     188.81514 |     188.81516 | -218470.89063 | -152960.53125 |     682.33350 |       0.01957 |       0.02569 |      -0.00076 |       1.94952 |       0.54895 |      57.16741 |      55.84618 |       8.53925 |      -0.11291 |      57.19826 |      -6.58955 |       0.03293 |      51.86327 |       4.20631 |    2022.35107 |    2025.07983 |       0.00000 |    2046.31873 |      51.50000 |       4.00000 |   14184.04980 |     472.30588 |  -40462.78125 |      70.33022 |     -10.13318 |     -45.55959 |    1072.60461 |       0.17653 | 
    156.98793 |     159.33340 |     164.14513 |     163.08304 |     180.65849 |     188.89485 |     188.89482 | -356999.90625 |  -89481.41406 |    6141.53809 |       0.01218 |       0.01249 |      -0.00069 |       2.03823 |       0.64797 |      57.16419 |      55.84293 |       8.55945 |      -0.13415 |      57.20139 |      -6.52132 |       0.01354 |      51.86331 |       4.20641 |    2019.19092 |    2021.78760 |       0.00000 |    2044.35962 |      51.50000 |       4.00000 |   14191.08496 |     471.29810 |  -40467.33594 |      70.37218 |     -10.03771 |     -45.58194 |    1100.10425 |       0.18105 | 
    157.07336 |     159.40593 |     164.21227 |     163.17328 |     180.75681 |     188.97211 |     188.97211 | -352954.59375 |  -90050.14063 |    7199.56396 |       0.00356 |       0.00417 |      -0.00047 |       2.07895 |       0.69288 |      57.16152 |      55.84022 |       8.52733 |      -0.14751 |      57.20583 |      -6.44867 |      -0.00319 |      51.86335 |       4.20652 |    2016.06030 |    2018.52454 |       0.00000 |    2042.19690 |      51.50000 |       4.00000 |   14198.13281 |     470.29922 |  -40471.90234 |      70.41481 |      -9.93552 |     -45.60248 |    1127.65198 |       0.18559 | 
    157.15190 |     159.47888 |     164.27988 |     163.25905 |     180.84718 |     189.04991 |     189.04991 | -193788.70313 | -272346.93750 |   -8943.92188 |      -0.00212 |      -0.01999 |      -0.00057 |       2.07886 |       0.64529 |      57.15883 |      55.83751 |       8.46929 |      -0.14511 |      57.20845 |      -6.39065 |      -0.02523 |      51.86339 |       4.20662 |    2012.96497 |    2015.29700 |       0.00000 |    2039.87085 |      51.50000 |       4.00000 |   14205.17285 |     469.31116 |  -40476.46094 |      70.45405 |      -9.85472 |     -45.62386 |    1155.16907 |       0.19012 | 
    157.22661 |     159.55243 |     164.34816 |     163.34215 |     180.93315 |     189.12848 |     189.12848 | -162810.03125 | -204414.71875 |   -7576.19971 |      -0.00604 |      -0.04652 |      -0.00083 |       2.05359 |       0.43773 |      57.15450 |      55.83314 |       8.39652 |      -0.11982 |      57.20999 |      -6.34273 |      -0.04723 |      51.86343 |       4.20672 |    2009.89172 |    2012.18835 |       0.00000 |    2037.40698 |      51.50000 |       4.00000 |   14212.21875 |     468.32974 |  -40481.02344 |      70.49123 |      -9.78869 |     -45.64573 |    1182.71057 |       0.19465 | 
    157.29964 |     159.62860 |     164.41919 |     163.42686 |     181.01720 |     189.21024 |     189.21024 | -137044.81250 |   15940.20703 |    5877.29688 |      -0.00946 |      -0.05269 |      -0.00082 |       2.00736 |       0.13951 |      57.14944 |      55.82805 |       8.30613 |      -0.08276 |      57.21168 |      -6.29808 |      -0.05627 |      51.86348 |       4.20682 |    2006.84119 |    2009.13757 |       0.00000 |    2034.83289 |      51.50000 |       4.00000 |   14219.26465 |     467.35526 |  -40485.58594 |      70.52920 |      -9.72754 |     -45.66785 |    1210.24988 |       0.19918 | 
    157.34845 |     159.68079 |     164.46800 |     163.48370 |     181.07336 |     189.26640 |     189.26642 | -110510.85156 |   85292.76563 |    8230.88672 |      -0.01124 |      -0.04746 |      -0.00070 |       1.96696 |      -0.05052 |      57.14659 |      55.82518 |       8.23948 |      -0.05879 |      57.21227 |      -6.27160 |      -0.05525 |      51.86350 |       4.20689 |    2004.81470 |    2007.11084 |       0.00000 |    2033.06250 |      51.50000 |       4.00000 |   14223.97168 |     466.70776 |  -40488.63281 |      70.55424 |      -9.69166 |     -45.68331 |    1228.64612 |       0.20221 | 
    157.44447 |     159.78407 |     164.56464 |     163.59293 |     181.18387 |     189.37761 |     189.37759 |  -84990.39844 |   78705.87500 |    4675.63379 |      -0.01411 |      -0.03409 |      -0.00051 |       1.87177 |      -0.34113 |      57.14278 |      55.82132 |       8.10230 |      -0.02015 |      57.21066 |      -6.22940 |      -0.04768 |      51.86356 |       4.20703 |    2000.93030 |    2003.22607 |       0.00000 |    2029.55310 |      51.50000 |       4.00000 |   14233.04492 |     465.46622 |  -40494.50781 |      70.60013 |      -9.63557 |     -45.71635 |    1264.10864 |       0.20805 | 
    157.53131 |     159.87648 |     164.65186 |     163.68839 |     181.28380 |     189.47797 |     189.47800 |  -61042.12109 |   53189.99609 |    1099.22583 |      -0.01599 |      -0.02612 |      -0.00047 |       1.77397 |      -0.52989 |      57.14051 |      55.81902 |       7.97647 |       0.00746 |      57.20621 |      -6.20137 |      -0.04001 |      51.86360 |       4.20714 |    1997.55554 |    1999.85071 |       0.00000 |    2026.42896 |      51.50000 |       4.00000 |   14240.96973 |     464.38730 |  -40499.64063 |      70.63778 |      -9.59966 |     -45.74886 |    1295.08472 |       0.21314 | 
    157.61290 |     159.96167 |     164.73232 |     163.77411 |     181.37769 |     189.57057 |     189.57056 |  -42698.44531 |   44607.37891 |    -979.91962 |      -0.01716 |      -0.02125 |      -0.00052 |       1.67822 |      -0.66345 |      57.13870 |      55.81718 |       7.86207 |       0.02846 |      57.20060 |      -6.18278 |      -0.03275 |      51.86364 |       4.20724 |    1994.55591 |    1996.85071 |       0.00000 |    2023.57898 |      51.50000 |       4.00000 |   14248.04004 |     463.42810 |  -40504.21875 |      70.67029 |      -9.57717 |     -45.78001 |    1322.72217 |       0.21769 | 
    157.69817 |     160.04967 |     164.81563 |     163.85982 |     181.47581 |     189.66646 |     189.66647 |   -2477.93677 |  152666.21875 |    5375.68018 |      -0.01770 |      -0.00826 |      -0.00047 |       1.57778 |      -0.74729 |      57.13712 |      55.81556 |       7.75234 |       0.04251 |      57.19499 |      -6.17359 |      -0.02141 |      51.86368 |       4.20735 |    1991.56689 |    1993.86121 |       0.00000 |    2020.70020 |      51.50000 |       4.00000 |   14255.09961 |     462.47223 |  -40508.79297 |      70.70273 |      -9.56865 |     -45.81107 |    1350.32129 |       0.22223 | 
    157.78775 |     160.14064 |     164.90204 |     163.94571 |     181.57890 |     189.76588 |     189.76587 |   12536.82617 |  138413.04688 |    5683.81299 |      -0.01753 |       0.00927 |      -0.00029 |       1.47674 |      -0.73385 |      57.13645 |      55.81485 |       7.65119 |       0.04431 |      57.18941 |      -6.17352 |      -0.00726 |      51.86372 |       4.20745 |    1988.57117 |    1990.86511 |       0.00000 |    2017.78760 |      51.50000 |       4.00000 |   14262.17969 |     461.51413 |  -40513.38281 |      70.73524 |      -9.57371 |     -45.84208 |    1377.99927 |       0.22679 | 
    157.88168 |     160.23528 |     164.99216 |     164.03386 |     181.68700 |     189.86960 |     189.86960 |   24376.82031 |    1949.55957 |   -1745.07825 |      -0.01710 |       0.01363 |      -0.00025 |       1.37722 |      -0.65965 |      57.13630 |      55.81467 |       7.55644 |       0.03999 |      57.18258 |      -6.17831 |      -0.00034 |      51.86377 |       4.20755 |    1985.56238 |    1987.85583 |       0.00000 |    2014.84448 |      51.50000 |       4.00000 |   14269.28613 |     460.55188 |  -40517.98828 |      70.76770 |      -9.58615 |     -45.87520 |    1405.78381 |       0.23136 | 
    157.97852 |     160.33218 |     165.08463 |     164.12262 |     181.79843 |     189.97601 |     189.97601 |   35674.80078 |    9391.36230 |    -839.91998 |      -0.01638 |       0.01369 |      -0.00028 |       1.28207 |      -0.58255 |      57.13589 |      55.81423 |       7.47145 |       0.03499 |      57.17613 |      -6.18848 |       0.00221 |      51.86381 |       4.20766 |    1982.57666 |    1984.86951 |       0.00000 |    2011.91406 |      51.50000 |       4.00000 |   14276.32813 |     459.59708 |  -40522.55469 |      70.80072 |      -9.60665 |     -45.90799 |    1433.31995 |       0.23589 | 
    158.07959 |     160.43289 |     165.18098 |     164.21344 |     181.91475 |     190.08688 |     190.08688 |   62475.18750 |   -8851.78418 |   -1114.16504 |      -0.01528 |       0.01457 |      -0.00027 |       1.19148 |      -0.49926 |      57.13530 |      55.81361 |       7.39687 |       0.02847 |      57.17056 |      -6.20449 |       0.00471 |      51.86385 |       4.20776 |    1979.56409 |    1981.85620 |       0.00000 |    2008.95239 |      51.50000 |       4.00000 |   14283.41797 |     458.63373 |  -40527.15234 |      70.83529 |      -9.63599 |     -45.94023 |    1461.04309 |       0.24046 | 
    158.18471 |     160.53789 |     165.28168 |     164.30621 |     182.03572 |     190.20277 |     190.20277 |  104629.92969 |  -49587.51563 |   -3036.13672 |      -0.01302 |       0.01019 |      -0.00032 |       1.11059 |      -0.42813 |      57.13435 |      55.81263 |       7.33943 |       0.02328 |      57.16519 |      -6.22794 |       0.00402 |      51.86389 |       4.20786 |    1976.51892 |    1978.81042 |       0.00000 |    2005.95911 |      51.50000 |       4.00000 |   14290.56055 |     457.66010 |  -40531.78516 |      70.87085 |      -9.67659 |     -45.97270 |    1488.97363 |       0.24505 | 
    158.29083 |     160.64441 |     165.38396 |     164.39954 |     182.15784 |     190.32048 |     190.32048 |  122964.96875 |  -27481.93164 |   -1975.55042 |      -0.01046 |       0.00643 |      -0.00038 |       1.04487 |      -0.38368 |      57.13287 |      55.81111 |       7.30034 |       0.02040 |      57.16064 |      -6.25457 |       0.00298 |      51.86393 |       4.20797 |    1973.50818 |    1975.79895 |       0.00000 |    2003.00635 |      51.50000 |       4.00000 |   14297.59277 |     456.69766 |  -40536.34766 |      70.90728 |      -9.72201 |     -46.00428 |    1516.47473 |       0.24958 | 
    158.40016 |     160.75478 |     165.49013 |     164.49554 |     182.28366 |     190.44266 |     190.44267 |  156897.87500 |  -15625.23242 |   -1410.12744 |      -0.00721 |       0.00429 |      -0.00042 |       0.99537 |      -0.35458 |      57.13096 |      55.80917 |       7.28114 |       0.01860 |      57.15670 |      -6.28487 |       0.00295 |      51.86397 |       4.20807 |    1970.45935 |    1972.74939 |       0.00000 |    2000.02380 |      51.50000 |       4.00000 |   14304.68066 |     455.72324 |  -40540.94531 |      70.94533 |      -9.77311 |     -46.03583 |    1544.19482 |       0.25414 | 
    158.51126 |     160.86809 |     165.59929 |     164.59366 |     182.41151 |     190.56827 |     190.56827 |  165394.73438 |  -10155.77734 |   -1272.37134 |      -0.00324 |       0.00227 |      -0.00046 |       0.96753 |      -0.33700 |      57.12867 |      55.80684 |       7.28596 |       0.01774 |      57.15306 |      -6.31754 |       0.00307 |      51.86401 |       4.20817 |    1967.39185 |    1969.68115 |       0.00000 |    1997.03296 |      51.50000 |       4.00000 |   14311.77441 |     454.74307 |  -40545.55078 |      70.98453 |      -9.82795 |     -46.06758 |    1571.94055 |       0.25871 | 
    158.62347 |     160.98360 |     165.71059 |     164.69473 |     182.54063 |     190.69635 |     190.69635 |  146464.48438 |   -3951.85522 |    -956.42419 |       0.00035 |       0.00175 |      -0.00049 |       0.96127 |      -0.32590 |      57.12602 |      55.80416 |       7.30962 |       0.01714 |      57.14975 |      -6.34746 |       0.00403 |      51.86405 |       4.20828 |    1964.30945 |    1966.59802 |       0.00000 |    1994.03662 |      51.50000 |       4.00000 |   14318.86719 |     453.75836 |  -40550.15234 |      71.02528 |      -9.87891 |     -46.09979 |    1599.68335 |       0.26327 | 
    158.73648 |     161.10191 |     165.82471 |     164.79781 |     182.67068 |     190.82767 |     190.82770 |  249413.18750 |  -12334.86230 |   -1448.78162 |       0.00541 |       0.00059 |      -0.00053 |       0.97928 |      -0.31955 |      57.12305 |      55.80117 |       7.35992 |       0.01690 |      57.14648 |      -6.37975 |       0.00475 |      51.86409 |       4.20838 |    1961.20276 |    1963.49036 |       0.00000 |    1991.02466 |      51.50000 |       4.00000 |   14325.98145 |     452.76608 |  -40554.76953 |      71.06691 |      -9.93359 |     -46.13248 |    1627.50830 |       0.26785 | 
    158.84946 |     161.22226 |     165.94089 |     164.90306 |     182.80069 |     190.96138 |     190.96138 |  261055.68750 |     440.97021 |    -843.96014 |       0.01164 |      -0.00005 |      -0.00057 |       1.03130 |      -0.31906 |      57.11968 |      55.79776 |       7.44355 |       0.01709 |      57.14333 |      -6.41137 |       0.00560 |      51.86414 |       4.20848 |    1958.07532 |    1960.36218 |       0.00000 |    1988.00171 |      51.50000 |       4.00000 |   14333.10547 |     451.76740 |  -40559.39453 |      71.10957 |      -9.98747 |     -46.16565 |    1655.37524 |       0.27244 | 
    158.96143 |     161.34303 |     166.05745 |     165.01276 |     182.92955 |     191.09552 |     191.09550 |  132513.59375 |   24372.80078 |     629.70166 |       0.01589 |       0.00144 |      -0.00057 |       1.11375 |      -0.31591 |      57.11603 |      55.79407 |       7.54491 |       0.01656 |      57.14036 |      -6.43026 |       0.00737 |      51.86418 |       4.20859 |    1954.93860 |    1957.22449 |       0.00000 |    1984.97522 |      51.50000 |       4.00000 |   14340.22266 |     450.76593 |  -40564.01563 |      71.15434 |     -10.02259 |     -46.19996 |    1683.21448 |       0.27702 | 
    159.07158 |     161.46350 |     166.17366 |     165.12695 |     183.05630 |     191.22925 |     191.22923 |   39420.92578 |   41976.97266 |    2230.03003 |       0.01754 |       0.00562 |      -0.00052 |       1.21125 |      -0.29431 |      57.11246 |      55.79048 |       7.64639 |       0.01339 |      57.13765 |      -6.43424 |       0.01008 |      51.86422 |       4.20869 |    1951.80042 |    1954.17053 |       0.00000 |    1981.94397 |      51.50000 |       4.00000 |   14347.33105 |     449.76404 |  -40568.63281 |      71.20129 |     -10.03563 |     -46.23536 |    1711.02368 |       0.28160 | 
    159.18449 |     161.58878 |     166.29466 |     165.24945 |     183.18625 |     191.36850 |     191.36850 |   -9094.46680 |   49936.62109 |    3712.59814 |       0.01785 |       0.01156 |      -0.00044 |       1.31777 |      -0.24024 |      57.10920 |      55.78718 |       7.74598 |       0.00586 |      57.13513 |      -6.42729 |       0.01279 |      51.86426 |       4.20880 |    1948.52673 |    1951.03723 |       0.00000 |    1978.76721 |      51.50000 |       4.00000 |   14354.75000 |     448.71887 |  -40573.44922 |      71.25204 |     -10.03277 |     -46.27295 |    1740.04468 |       0.28637 | 
    159.28606 |     161.70380 |     166.40544 |     165.36549 |     183.30313 |     191.49596 |     191.49596 | -120863.28125 |  -17987.37305 |     658.08862 |       0.01631 |       0.01282 |      -0.00040 |       1.41239 |      -0.16900 |      57.10670 |      55.78465 |       7.82222 |      -0.00364 |      57.13275 |      -6.40891 |       0.01265 |      51.86430 |       4.20890 |    1945.51721 |    1948.15710 |       0.00000 |    1975.84167 |      51.50000 |       4.00000 |   14361.58398 |     447.75793 |  -40577.88672 |      71.30013 |     -10.01230 |     -46.30867 |    1766.77979 |       0.29077 | 
    159.39044 |     161.82272 |     166.52002 |     165.49011 |     183.42325 |     191.62782 |     191.62781 | -225608.00000 |  -77815.71875 |   -2612.39404 |       0.01170 |       0.00660 |      -0.00045 |       1.49154 |      -0.11286 |      57.10416 |      55.78207 |       7.86810 |      -0.01098 |      57.13000 |      -6.37565 |       0.00807 |      51.86434 |       4.20900 |    1942.38159 |    1945.15686 |       0.00000 |    1972.76843 |      51.50000 |       4.00000 |   14368.73535 |     446.75650 |  -40582.53125 |      71.35166 |      -9.96995 |     -46.34742 |    1794.75757 |       0.29538 | 
